trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
122,1,-0.11411178840667757,0.11411178840667757,17.598819,"{'n_estimators': 1407, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1407,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
123,1,-0.11436943125131509,0.11436943125131509,17.483364,"{'n_estimators': 1405, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1405,log_loss,10.0,8,1,sqrt,,Titanic,0.1509247744268588
124,1,-0.1140458636980429,0.1140458636980429,18.311657,"{'n_estimators': 1470, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1470,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
125,1,-0.11434243565847338,0.11434243565847338,18.180331,"{'n_estimators': 1462, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1462,log_loss,10.0,8,1,sqrt,,Titanic,0.1509247744268588
126,2,-0.11275961539408216,0.11275961539408216,3.508249,"{'n_estimators': 1480, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': None}",1480,log_loss,10.0,7,2,0.33,,Titanic,0.1509247744268588
127,2,-0.11235622759453151,0.11235622759453151,3.55057,"{'n_estimators': 1433, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1433,log_loss,10.0,9,1,sqrt,,Titanic,0.1509247744268588
128,1,-0.11409424284793349,0.11409424284793349,17.087428,"{'n_estimators': 1368, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1368,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
129,2,-0.11614120235773487,0.11614120235773487,3.33697,"{'n_estimators': 1367, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 19, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1367,log_loss,10.0,19,1,sqrt,,Titanic,0.1509247744268588
130,2,-0.1127613568337022,0.1127613568337022,3.500723,"{'n_estimators': 1406, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",1406,log_loss,10.0,8,2,sqrt,,Titanic,0.1509247744268588
131,1,-0.1143924740147663,0.1143924740147663,4.401437,"{'n_estimators': 347, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",347,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
132,2,-0.1132739410509441,0.1132739410509441,3.429519,"{'n_estimators': 1374, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1374,log_loss,10.0,11,1,sqrt,,Titanic,0.1509247744268588
133,1,-0.11406057638016757,0.11406057638016757,18.020906,"{'n_estimators': 1444, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1444,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
134,1,-0.11407567583613103,0.11407567583613103,17.919715,"{'n_estimators': 1440, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1440,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
135,2,-0.11247348609283679,0.11247348609283679,3.788022,"{'n_estimators': 1493, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1493,log_loss,10.0,6,1,sqrt,,Titanic,0.1509247744268588
136,1,-0.11408446291940637,0.11408446291940637,17.887657,"{'n_estimators': 1434, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1434,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
137,1,-0.11435997142966689,0.11435997142966689,18.009922,"{'n_estimators': 1448, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1448,log_loss,10.0,8,1,sqrt,,Titanic,0.1509247744268588
138,2,-0.1137535150153305,0.1137535150153305,3.346514,"{'n_estimators': 1443, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.5}",1443,log_loss,10.0,7,1,sqrt,0.5,Titanic,0.1509247744268588
139,2,-0.11287508536117503,0.11287508536117503,3.288222,"{'n_estimators': 1345, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1345,gini,10.0,6,1,sqrt,,Titanic,0.1509247744268588
140,2,-0.12615616873501348,0.12615616873501348,3.327388,"{'n_estimators': 1496, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",1496,log_loss,15.0,8,7,0.1,,Titanic,0.1509247744268588
141,1,-0.11410773825027169,0.11410773825027169,17.706831,"{'n_estimators': 1418, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1418,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
142,2,-0.11468387872822997,0.11468387872822997,3.338694,"{'n_estimators': 1388, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_samples': None}",1388,log_loss,10.0,7,6,sqrt,,Titanic,0.1509247744268588
143,1,-0.11404213402826617,0.11404213402826617,18.297434,"{'n_estimators': 1465, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1465,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
144,2,-0.11250552817669533,0.11250552817669533,3.688162,"{'n_estimators': 1474, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1474,log_loss,10.0,6,1,sqrt,,Titanic,0.1509247744268588
145,1,-0.11437973731230686,0.11437973731230686,17.921179,"{'n_estimators': 1441, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1441,log_loss,10.0,8,1,sqrt,,Titanic,0.1509247744268588
146,2,-0.11236783205518501,0.11236783205518501,3.426888,"{'n_estimators': 1364, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1364,log_loss,10.0,6,1,sqrt,,Titanic,0.1509247744268588
147,1,-0.1140858633676159,0.1140858633676159,16.760703,"{'n_estimators': 1339, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1339,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
148,2,-0.11415981333361558,0.11415981333361558,3.146685,"{'n_estimators': 1334, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.7}",1334,log_loss,10.0,7,4,sqrt,0.7,Titanic,0.1509247744268588
149,2,-0.11161442585880677,0.11161442585880677,14.774169,"{'n_estimators': 1470, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1470,log_loss,20.0,8,1,sqrt,,Titanic,0.1509247744268588
150,2,-0.12127932298813177,0.12127932298813177,3.317811,"{'n_estimators': 1441, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_features': 0.33, 'max_samples': None}",1441,log_loss,,6,9,0.33,,Titanic,0.1509247744268588
151,1,-0.1140730195883286,0.1140730195883286,17.193355,"{'n_estimators': 1379, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1379,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
152,1,-0.1140979901690152,0.1140979901690152,17.052353,"{'n_estimators': 1360, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1360,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
153,1,-0.11412261590716088,0.11412261590716088,16.61298,"{'n_estimators': 1333, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1333,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
154,2,-0.11430899494599185,0.11430899494599185,3.406201,"{'n_estimators': 1379, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1379,log_loss,10.0,15,1,sqrt,,Titanic,0.1509247744268588
155,2,-0.11237060767295876,0.11237060767295876,3.549843,"{'n_estimators': 1418, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1418,log_loss,10.0,6,1,sqrt,,Titanic,0.1509247744268588
156,1,-0.11407183008161396,0.11407183008161396,16.849066,"{'n_estimators': 1348, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1348,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
157,2,-0.1128114878809181,0.1128114878809181,3.238092,"{'n_estimators': 1317, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",1317,log_loss,10.0,8,2,sqrt,,Titanic,0.1509247744268588
158,1,-0.11409690951150127,0.11409690951150127,17.819673,"{'n_estimators': 1428, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1428,entropy,10.0,7,1,sqrt,,Titanic,0.1509247744268588
159,2,-0.11402363842855603,0.11402363842855603,3.576966,"{'n_estimators': 1461, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': None}",1461,entropy,10.0,7,5,sqrt,,Titanic,0.1509247744268588
