trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
78,2,-0.15179175020884136,0.15179175020884136,2.511779,"{'n_estimators': 1305, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1305,entropy,15.0,2,4,sqrt,0.9,Gym,0.17852989651567044
79,1,-0.1549735566428941,0.1549735566428941,13.306902,"{'n_estimators': 1383, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1383,entropy,20.0,5,3,sqrt,0.9,Gym,0.17852989651567044
80,1,-0.1547286714263558,0.1547286714263558,10.889155,"{'n_estimators': 1137, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1137,entropy,15.0,4,4,sqrt,0.9,Gym,0.17852989651567044
81,1,-0.1547372103907921,0.1547372103907921,13.654218,"{'n_estimators': 1442, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1442,entropy,15.0,2,5,sqrt,0.9,Gym,0.17852989651567044
82,2,-0.15178805039064183,0.15178805039064183,2.844574,"{'n_estimators': 1466, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1466,entropy,15.0,3,4,sqrt,0.9,Gym,0.17852989651567044
83,2,-0.15177402440434093,0.15177402440434093,2.547736,"{'n_estimators': 1324, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1324,entropy,15.0,2,4,sqrt,0.9,Gym,0.17852989651567044
84,1,-0.1547298363190281,0.1547298363190281,13.457352,"{'n_estimators': 1415, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1415,entropy,,3,5,sqrt,0.9,Gym,0.17852989651567044
85,2,-0.15967351204123265,0.15967351204123265,2.283734,"{'n_estimators': 1251, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.1, 'max_samples': 0.9}",1251,entropy,15.0,2,3,0.1,0.9,Gym,0.17852989651567044
86,2,-0.152598535109643,0.152598535109643,2.696759,"{'n_estimators': 1467, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.5}",1467,entropy,15.0,4,4,sqrt,0.5,Gym,0.17852989651567044
87,2,-0.15186885129618094,0.15186885129618094,2.610246,"{'n_estimators': 1355, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1355,entropy,15.0,3,5,sqrt,0.9,Gym,0.17852989651567044
88,1,-0.15493629658782204,0.15493629658782204,12.620724,"{'n_estimators': 1299, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1299,entropy,15.0,2,3,sqrt,0.9,Gym,0.17852989651567044
89,2,-0.15241919562009149,0.15241919562009149,2.615402,"{'n_estimators': 1410, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1410,gini,15.0,5,4,sqrt,0.9,Gym,0.17852989651567044
90,1,-0.15486268504090014,0.15486268504090014,12.925228,"{'n_estimators': 1367, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_samples': 0.9}",1367,entropy,20.0,4,6,sqrt,0.9,Gym,0.17852989651567044
91,1,-0.15474610900223357,0.15474610900223357,14.053008,"{'n_estimators': 1484, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1484,entropy,15.0,3,5,sqrt,0.9,Gym,0.17852989651567044
92,1,-0.15472984926302044,0.15472984926302044,13.883549,"{'n_estimators': 1462, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1462,entropy,15.0,3,5,sqrt,0.9,Gym,0.17852989651567044
