trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
88,1,-0.18530068011662096,0.18530068011662096,19.962881,"{'n_estimators': 1268, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1268,entropy,,16,1,sqrt,0.9,Bank,0.18388620638580755
89,2,-0.18582320990854007,0.18582320990854007,1.671781,"{'n_estimators': 612, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_samples': 0.5}",612,entropy,,13,1,0.1,0.5,Bank,0.18388620638580755
90,2,-0.18520129235416347,0.18520129235416347,3.938105,"{'n_estimators': 1284, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1284,entropy,,17,1,sqrt,0.9,Bank,0.18388620638580755
91,1,-0.18528582738978755,0.18528582738978755,19.430692,"{'n_estimators': 1244, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1244,entropy,,16,1,sqrt,0.9,Bank,0.18388620638580755
92,1,-0.18527122909366364,0.18527122909366364,19.440335,"{'n_estimators': 1230, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1230,entropy,,15,1,sqrt,0.9,Bank,0.18388620638580755
93,1,-0.18527662983327273,0.18527662983327273,16.108532,"{'n_estimators': 1022, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1022,entropy,,15,1,sqrt,0.9,Bank,0.18388620638580755
94,1,-0.185468387885,0.185468387885,16.371097,"{'n_estimators': 1065, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1065,entropy,,15,2,sqrt,0.9,Bank,0.18388620638580755
95,2,-0.1852949449393735,0.1852949449393735,3.282047,"{'n_estimators': 1021, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1021,entropy,,14,1,sqrt,0.9,Bank,0.18388620638580755
96,2,-0.18524817353542736,0.18524817353542736,2.842813,"{'n_estimators': 947, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",947,entropy,,15,1,sqrt,0.7,Bank,0.18388620638580755
97,2,-0.18604562442107994,0.18604562442107994,3.185474,"{'n_estimators': 746, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': 0.9}",746,log_loss,,15,2,0.33,0.9,Bank,0.18388620638580755
98,2,-0.1853313924603232,0.1853313924603232,3.871898,"{'n_estimators': 1232, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1232,entropy,20.0,13,1,sqrt,0.9,Bank,0.18388620638580755
99,2,-0.1908395525450851,0.1908395525450851,2.979912,"{'n_estimators': 1139, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1139,entropy,10.0,14,2,sqrt,0.9,Bank,0.18388620638580755
